brand_id_1,brand_id_2,shared_subcat_n,shared_keyword_n,avg_price_gap
cutluxe,yatoshi knives,1,0,80.00000000000001
generic,henckels,1,0,54.959999999999994
generic,hoshanho,1,0,39.800000000000026
generic,huusk,1,0,40.000000000000014
generic,imarku,1,0,20.0
generic,keemake,1,0,15.0
generic,klaus meyer,1,0,22.58
generic,knifesaga,1,0,80.00000000000001
generic,mac knife,1,0,36.959999999999994
generic,mccook,1,0,36.0
generic,mdhand,1,0,0.0
generic,nanfang brothers,1,0,55.750000000000014
generic,paudin,1,0,30.0
generic,styled settings,1,0,0.0
generic,wizeka,1,0,25.010000000000005
generic,xyj,1,0,22.5
generic,yatoshi knives,1,0,110.00000000000001
henckels,klaus meyer,1,0,32.379999999999995
henckels,knifesaga,1,0,25.04000000000002
henckels,mdhand,1,0,54.959999999999994
henckels,wizeka,1,0,29.94999999999999
henckels,xyj,1,0,32.459999999999994
henckels,yatoshi knives,1,0,55.04000000000002
hoshanho,klaus meyer,1,0,17.220000000000027
hoshanho,knifesaga,1,0,40.19999999999999
hoshanho,mdhand,1,0,39.800000000000026
hoshanho,wizeka,1,0,14.79000000000002
hoshanho,xyj,1,0,17.300000000000026
hoshanho,yatoshi knives,1,0,70.19999999999999
huusk,klaus meyer,1,0,17.420000000000016
huusk,knifesaga,1,0,40.0
huusk,mdhand,1,0,40.000000000000014
huusk,nanfang brothers,1,0,15.75
huusk,wizeka,1,0,14.990000000000009
huusk,xyj,1,0,17.500000000000014
huusk,yatoshi knives,1,0,70.0
imarku,klaus meyer,1,0,2.5799999999999983
imarku,mdhand,1,0,20.0
imarku,nanfang brothers,1,0,35.750000000000014
imarku,wizeka,1,0,5.010000000000005
imarku,xyj,1,0,2.5
imarku,yatoshi knives,1,0,90.00000000000001
keemake,klaus meyer,1,0,7.579999999999998
keemake,knifesaga,1,0,65.00000000000001
keemake,mdhand,1,0,15.0
keemake,nanfang brothers,1,0,40.750000000000014
keemake,wizeka,1,0,10.010000000000005
keemake,xyj,1,0,7.5
keemake,yatoshi knives,1,0,95.00000000000001
klaus meyer,knifesaga,1,0,57.420000000000016
klaus meyer,mac knife,1,0,14.379999999999995
klaus meyer,mccook,1,0,13.420000000000002
klaus meyer,mdhand,1,0,22.58
klaus meyer,nanfang brothers,1,0,33.170000000000016
klaus meyer,paudin,1,0,7.420000000000002
klaus meyer,styled settings,1,0,22.58
klaus meyer,wizeka,1,0,2.430000000000007
klaus meyer,xyj,1,0,0.0799999999999983
klaus meyer,yatoshi knives,1,0,87.42000000000002
knifesaga,mac knife,1,0,43.04000000000002
knifesaga,mccook,1,0,44.000000000000014
knifesaga,mdhand,1,0,80.00000000000001
knifesaga,nanfang brothers,1,0,24.25
knifesaga,paudin,1,0,50.000000000000014
knifesaga,styled settings,1,0,80.00000000000001
knifesaga,wizeka,1,0,54.99000000000001
knifesaga,xyj,1,0,57.500000000000014
knifesaga,yatoshi knives,1,0,30.0
mac knife,mdhand,1,0,36.959999999999994
mac knife,nanfang brothers,1,0,18.79000000000002
mac knife,wizeka,1,0,11.949999999999989
mac knife,xyj,1,0,14.459999999999994
mac knife,yatoshi knives,1,0,73.04000000000002
mccook,mdhand,1,0,36.0
mccook,nanfang brothers,1,0,19.750000000000014
mccook,wizeka,1,0,10.989999999999995
mccook,xyj,1,0,13.5
mccook,yatoshi knives,1,0,74.00000000000001
mdhand,nanfang brothers,1,0,55.750000000000014
mdhand,paudin,1,0,30.0
mdhand,styled settings,1,0,0.0
mdhand,wizeka,1,0,25.010000000000005
mdhand,xyj,1,0,22.5
mdhand,yatoshi knives,1,0,110.00000000000001
nanfang brothers,paudin,1,0,25.750000000000014
nanfang brothers,styled settings,1,0,55.750000000000014
nanfang brothers,wizeka,1,0,30.74000000000001
nanfang brothers,xyj,1,0,33.250000000000014
nanfang brothers,yatoshi knives,1,0,54.25
paudin,wizeka,1,0,4.989999999999995
paudin,xyj,1,0,7.5
paudin,yatoshi knives,1,0,80.00000000000001
styled settings,wizeka,1,0,25.010000000000005
styled settings,xyj,1,0,22.5
styled settings,yatoshi knives,1,0,110.00000000000001
wizeka,xyj,1,0,2.510000000000005
wizeka,yatoshi knives,1,0,84.99000000000001
xyj,yatoshi knives,1,0,87.50000000000001
cangshan,cutco,1,0,1503.3249999999998
cangshan,henckels,1,0,141.555
cangshan,hoshanho,1,0,131.515
cangshan,nanfang brothers,1,0,91.51499999999999
cangshan,shan zu,1,0,101.51499999999999
cutco,henckels,1,0,1644.8799999999999
cutco,hoshanho,1,0,1634.84
cutco,nanfang brothers,1,0,1594.84
cutco,shan zu,1,0,1604.84
nanfang brothers,shan zu,1,0,10.0
,"price, product page$79.99$79.99",0,1,
,"price, product page$69.99$69.99",0,1,
,hoshanho,0,1,
,paudin,0,1,
