keyword_id,product_id,search_rank,is_sponsored,is_best_seller,is_amazon_choice
mccook knife set,B0F3KWZQ61,104,0,0,0
mccook knife set,B09XTVYY5G,105,0,0,0
mccook knife set,B004E33WWM,107,0,0,0
mccook knife set,B0FVRRZGZX,108,0,0,0
mccook knife set,B0DFP565XX,109,0,0,0
mccook knife set,B0C3TQ56CR,111,0,0,0
mccook knife set,B0B3XL63RG,112,0,0,0
mccook knife set,B0FFSXPHZC,114,0,0,0
mccook knife set,B0CG69W9R9,115,0,0,0
mccook knife set,B01B3GARVG,117,0,0,0
mccook knife set,B0CZ2G8112,118,0,0,0
mccook knife set,B0D4MMGCDQ,119,0,0,0
mccook knife set,B0D98FCMGP,121,0,0,0
mccook knife set,B0FFS8C592,122,0,0,0
mccook knife set,B0DGGCS6ZB,123,0,0,0
mccook knife set,B0F1T3CRTF,124,0,0,0
mccook knife set,B0BW4Y6B95,125,0,0,0
mccook knife set,B0FJKZGF9P,126,0,0,0
mccook knife set,B0D1CGLWNX,127,0,0,0
mccook knife set,B0FX2R2HYD,129,0,0,0
mccook knife set,B0D3LP4SX7,130,0,0,0
mccook knife set,B0FMKFTGDJ,131,0,0,0
mccook knife set,B0D1Y5M4RL,133,0,0,0
mccook knife set,B0C4YQDZ58,134,0,0,0
mccook knife set,B0D2H4BGFQ,135,0,0,0
mccook knife set,B0D6BM4PDD,137,0,0,0
mccook knife set,B0DB5GWLL4,139,0,0,0
mccook knife set,B0B62H439B,142,0,0,0
mccook knife set,B0F596KFF8,143,0,0,0
mccook knife set,B0DSP9ZJVG,144,0,0,0
mccook knife set,B0D7QCZVZR,146,0,0,0
mccook knife set,B0BFH5D4LQ,148,0,0,0
mccook knife set,B0F1FY2HQY,149,0,0,0
mccook knife set,B0CC3JW4D3,150,0,0,0
mccook knife set,B0C61SJWDD,151,0,0,0
mccook knife set,B09SZ1LC36,152,0,0,0
mccook knife set,B0D2X9NPY3,154,0,0,0
