product_id,title,price_num,discount_rate,product_rating,product_rating_count,bsr_category_norm,best_subcat_name,best_subcat_rank,bsr_rank,is_fba,has_aplus,image_count,bullet_count,bought_count_number_clean
B0DSJ1CNQ2,"PAUDIN Butcher Knife, 10″ Bullnose Brisket Knife,Forged High Carbon German Steel, Ultra Sharp Edge for Meat Cutting, Ergonomic Handle Design",23.99,0.3514463368477968,4.7,352,kitchen & dining,,,70680.0,1,1,10,5,
B09FXJ6GMH,PAUDIN Boning Knife 6 inch and Brisket Knife 12 inch,27.99,,3.6,4,,,,,1,1,9,5,
B0DD56SV3N,"KitchenAid Gourmet Knife Block Set with Built-in Sharpener, 15-Piece, Stainless Steel",99.99,0.3150900746626482,4.6,350,kitchen & dining,,,18482.0,1,1,9,5,200.0
B01GL5G6O6,"TUO Paring Knife, 4 inch Small Kitchen Knife for Fruit Peeling, High Carbon German Stainless Steel, Ergonomic Pakkawood Handle - Fiery Phoenix Series",19.99,0.1987975951903808,4.7,1302,kitchen & dining,,,72534.0,0,1,10,5,50.0
B01M4HMVAA,Cuisinart Classic Impressions German Steel 6-Piece Knife Set,89.99,,4.5,176,kitchen & dining,,,322139.0,1,1,5,1,
B0DM82G931,PAUDIN Fillet Knife + Chef Knife,45.99,0.5257785110332027,0.0,0,,,,,1,1,9,5,
B00LI03Q7K,"CUISINART Block Knife Set, 15pc Cutlery Knife Set with Steel Blades for Precise Cutting , Lightweight, Stainless Steel, Durable & Dishwasher Safe,C77SS-15P",119.86,0.0776452481723739,4.7,6310,kitchen & dining,,,8134.0,1,1,9,5,
B0D86YBQXZ,"Paudin Magnetic Knife Block with Bamboo – Detachable Design for Easy Cleaning, Stylish and Durable Knife Holder Magnetic Stands for Kitchen Organization",49.99,,2.9,3,kitchen & dining,,,817164.0,0,1,10,5,
B0DFYRDYD8,"8 Inch Chef Knife, Kitchen Knife with Sharpener and Finger Guard, Professional Steel Sharp Chef's Knife Set with Ergonomic Handle, Gifts for Christmas, Black",29.99,0.0,4.6,316,kitchen & dining,,,28545.0,1,1,10,5,400.0
B0DNW1X8Z4,5-Piece Knife Set Professional Kitchen Knife Set Ultra Sharp High Carbon Stainless Steel Chef Knife Set for Kitchen Japanese Cooking Knife with Gift Box,52.99,0.6467097806520434,4.3,44,kitchen & dining,,,68238.0,1,1,10,5,500.0
B09Y5NZ1WC,"SHAN ZU Damascus Kitchen Knife Set, 7-Piece Professional Knife Sets for Chefs, Japanese 10Cr15CoMoV Super Steel With G10 Handle Knife Block Set, GYO Series",337.99,0.0,4.7,1926,kitchen & dining,,,20395.0,1,1,10,5,
B07ZY4S51Z,Home Kitchen Magnetic Knife Block Holder Rack Magnetic Stands with Strong Enhanced Magnets Multifunctional Storage Knife Holder,30.39,0.3091611729938622,4.8,10345,kitchen & dining,,,1552.0,1,1,10,5,6000.0
B0DSK8P872,"PAUDIN Santoku Knife, Chef Knife 5 inch Ultra Sharp Kitchen Knife, Japanese Chef Knife with Sheath, High Carbon Stainless Steel, Ergonomic Pakkawood Handle",36.99,0.1956947162426614,4.5,1998,kitchen & dining,,,73695.0,1,1,10,5,50.0
B0B62LSJMN,"OOU Kitchen Knife Block Set - 15 Pieces High Carbon Stainless Steel Knife Block Set with Built-in Sharpening Blocks, Black",74.99,,4.6,2937,kitchen & dining,,,39957.0,1,1,10,5,
B0CBS9FTDX,"HOSHANHO Damascus Kitchen Knife Set 3-Piece, Ultra Sharp 8"" Chef Knife, 7"" Santoku Knife, 3.75"" Paring Knife, Professional 10Cr15CoMoV Damascus Super Steel Chef Knife Set with Ergonomic Handle",168.99,,4.7,337,kitchen & dining,,,26718.0,0,1,10,5,100.0
B0DM8363RQ,PAUDIN Damascus Chef Knife + Nakiri Knife,115.99,0.3555395043893766,0.0,0,,,,,0,1,9,5,
B09FL98DFP,PAUDIN Boning Knife and Carving Knife,23.99,,5.0,10,,,,,1,1,9,5,
