asin,sample_review_n,avg_review_rating_sample,review_rating_std_sample,verified_ratio,helpful_sum,helpful_mean,has_text_ratio,avg_text_len,first_review_date,last_review_date,scrape_cap_10_flag,scrape_cap_100_flag,brand,brand_norm,price_num,bsr_rank,is_fba,has_aplus,image_count,best_subcat_rank,best_subcat_name,bought_count_number_clean
B0CN3KPCT1,10,3.8,1.7511900715418263,1.0,8,0.8,1.0,185.2,2025-11-03,2026-01-05,1,0,MasterChef,masterchef,19.99,12241.0,True,True,9,,,1000.0
B0CP5QXC1H,10,3.6,1.7126976771553508,0.8,0,0.0,1.0,196.8,2025-12-23,2026-01-06,1,0,HOSHANHO,hoshanho,208.98,12951.0,True,True,10,,,1000.0
B0CSFG6GL3,10,4.3,1.4944341180973264,1.0,0,0.0,1.0,107.6,2025-12-22,2026-01-05,1,0,HOSHANHO,hoshanho,57.99,69672.0,True,True,9,,,100.0
B0CWH4MF7W,10,5.0,0.0,0.8,0,0.0,1.0,184.4,2026-01-05,2026-01-07,1,0,HOSHANHO,hoshanho,65.99,2419.0,False,True,10,,,2000.0
B0CZ747XJJ,10,4.4,0.8432740427115678,0.8,0,0.0,1.0,247.0,2025-12-02,2026-01-07,1,0,imarku,imarku,129.99,56437.0,True,True,10,,,
B0DCV9V2PV,10,3.6,1.8973665961010278,0.6,2,0.2,1.0,124.6,2025-12-29,2026-01-06,1,0,HOSHANHO,hoshanho,89.99,2551.0,False,True,10,,,1000.0
B0DDKP1N8L,10,4.5,1.2692955176439846,0.7,2,0.2,1.0,159.3,2025-10-21,2026-01-06,1,0,imarku,imarku,34.19,62028.0,True,True,9,2.0,Chinese Vegetable Knives,
B0DGL3FDWX,10,4.4,1.2649110640673518,0.7,0,0.0,1.0,165.1,2025-12-02,2026-01-08,1,0,HOSHANHO,hoshanho,27.59,36007.0,True,True,9,7.0,Fillet Knives,
B0DGWMNZJP,10,2.6,1.7763883459298973,1.0,2,0.2,1.0,135.2,2025-11-20,2026-01-03,1,0,Oster,oster,35.52,21599.0,True,True,9,,,
B0DNF1F2HG,10,4.2,1.3984117975602022,1.0,4,0.4,1.0,130.1,2025-12-13,2025-12-31,1,0,Atumuryou JPCK,atumuryou jpck,99.98,12924.0,True,True,9,40.0,Chef's Knives,
B0DPGRS6JY,10,3.7,1.636391694484477,1.0,1,0.1,1.0,96.5,2025-06-27,2026-01-09,1,0,Oster,oster,44.97,46771.0,True,True,8,,,
B0DR1NKGDP,10,4.8,0.6324555320336759,0.9,1,0.1,1.0,192.4,2025-12-19,2026-01-08,1,0,SHAN ZU,shan zu,27.99,10292.0,True,True,9,31.0,Chef's Knives,
B0DX6SWZNL,10,5.0,0.0,0.6,0,0.0,1.0,77.8,2025-12-16,2026-01-07,1,0,imarku,imarku,69.99,155522.0,True,True,8,472.0,Block Knife Sets,
B0DXPQ88ZV,10,4.9,0.31622776601683794,0.9,0,0.0,1.0,84.0,2025-12-26,2026-01-07,1,0,Emojoy,emojoy,29.99,17899.0,True,True,9,54.0,Chef's Knives,
B0DYP3J5BW,10,4.8,0.4216370213557839,1.0,1,0.1,1.0,91.8,2025-12-29,2026-01-07,1,0,Astercook,astercook,49.97,3470.0,True,True,10,,,1000.0
